datetime,open,high,low,close,volume,oi,symbol
2022-07-22,17905.0,18065.0,17790.0,17995.0,187401,104631,AL
2022-07-25,18050.0,18225.0,17710.0,17810.0,222658,93348,AL
2022-07-26,17845.0,18090.0,17730.0,18030.0,132469,77656,AL
2022-07-27,17985.0,18145.0,17840.0,18055.0,243683,178295,AL
2022-07-28,18025.0,18755.0,17965.0,18730.0,326813,177560,AL
2022-07-29,18700.0,18780.0,18565.0,18750.0,288241,180533,AL
2022-08-01,18720.0,18780.0,18020.0,18205.0,379592,174975,AL
2022-08-02,18190.0,18240.0,17880.0,18070.0,263383,168520,AL
2022-08-03,18070.0,18375.0,17995.0,18250.0,293514,165238,AL
2022-08-04,18190.0,18305.0,18085.0,18190.0,232448,167481,AL
2022-08-05,18200.0,18610.0,18130.0,18515.0,280653,175531,AL
2022-08-08,18510.0,18605.0,18280.0,18415.0,209072,166701,AL
2022-08-09,18470.0,18670.0,18355.0,18540.0,197383,172884,AL
2022-08-10,18630.0,18830.0,18575.0,18685.0,217676,175689,AL
2022-08-11,18765.0,18880.0,18600.0,18745.0,222161,174633,AL
2022-08-12,18750.0,18805.0,18505.0,18725.0,217292,170334,AL
2022-08-15,18530.0,18545.0,18005.0,18010.0,286340,155802,AL
2022-08-16,17975.0,18230.0,17725.0,18225.0,260670,146986,AL
2022-08-17,18250.0,18755.0,18245.0,18660.0,289676,153829,AL
2022-08-18,18640.0,18690.0,18320.0,18330.0,254522,146602,AL
2022-08-19,18490.0,18565.0,18370.0,18425.0,214788,137944,AL
2022-08-22,18400.0,18730.0,18355.0,18580.0,223102,131711,AL
2022-08-23,18440.0,18750.0,18440.0,18685.0,187140,129135,AL
2022-08-24,18780.0,19120.0,18665.0,19090.0,252495,139139,AL
2022-08-25,18940.0,19025.0,18840.0,18910.0,181118,123497,AL
2022-08-26,18915.0,18960.0,18740.0,18860.0,152436,95282,AL
2022-08-29,19030.0,19250.0,18610.0,18675.0,319725,171655,AL
2022-08-30,18675.0,18755.0,18330.0,18360.0,237333,168330,AL
2022-08-31,18245.0,18490.0,18220.0,18410.0,221869,165690,AL
2022-09-01,18235.0,18430.0,17865.0,17900.0,337519,172991,AL
2022-09-02,17900.0,18175.0,17790.0,18110.0,318068,171672,AL
2022-09-05,18110.0,18420.0,18065.0,18355.0,310281,166953,AL
