datetime,open,high,low,close,volume,oi,symbol
2022-07-22,56180.0,57080.0,55740.0,56930.0,118965,107507,CU
2022-07-25,56880.0,57990.0,56810.0,57220.0,111583,97352,CU
2022-07-26,57290.0,59040.0,57290.0,58890.0,160993,152178,CU
2022-07-27,58730.0,58840.0,57720.0,58390.0,145415,153367,CU
2022-07-28,58280.0,60060.0,57960.0,59990.0,161288,155978,CU
2022-07-29,59610.0,60170.0,59230.0,60100.0,147588,157641,CU
2022-08-01,60180.0,61260.0,59920.0,60840.0,174005,159606,CU
2022-08-02,61020.0,61250.0,59120.0,60250.0,182051,155093,CU
2022-08-03,60450.0,60700.0,59510.0,59780.0,179147,157522,CU
2022-08-04,60050.0,60170.0,58730.0,58750.0,137931,160822,CU
2022-08-05,59100.0,60560.0,58540.0,60310.0,182012,164183,CU
2022-08-08,60080.0,61200.0,59710.0,60930.0,160061,162318,CU
2022-08-09,60880.0,61700.0,60680.0,61220.0,134470,160967,CU
2022-08-10,61390.0,61890.0,60760.0,61040.0,133240,160500,CU
2022-08-11,61960.0,62790.0,61600.0,62690.0,154253,160597,CU
2022-08-12,62800.0,63010.0,62420.0,62930.0,115720,162236,CU
2022-08-15,62390.0,62440.0,61240.0,61480.0,139942,159259,CU
2022-08-16,61040.0,62460.0,60830.0,62040.0,126975,155892,CU
2022-08-17,62110.0,62410.0,61770.0,61960.0,100558,151242,CU
2022-08-18,61770.0,61900.0,61150.0,61170.0,116574,151030,CU
2022-08-19,62100.0,62610.0,61890.0,61980.0,110989,148840,CU
2022-08-22,62500.0,63400.0,62350.0,62770.0,109392,143995,CU
2022-08-23,62560.0,63270.0,62340.0,63040.0,81774,134350,CU
2022-08-24,63400.0,63720.0,63040.0,63420.0,77856,126048,CU
2022-08-25,62720.0,62850.0,62400.0,62780.0,113853,149094,CU
2022-08-26,63030.0,63730.0,62910.0,63690.0,113042,164183,CU
2022-08-29,64210.0,64560.0,62280.0,62550.0,185856,166219,CU
2022-08-30,62700.0,62840.0,61990.0,62200.0,117080,163034,CU
2022-08-31,61840.0,62340.0,61580.0,62060.0,127826,159941,CU
2022-09-01,60900.0,61520.0,60350.0,60680.0,167919,162153,CU
2022-09-02,60530.0,60530.0,59300.0,59540.0,161035,167757,CU
2022-09-05,59700.0,60670.0,59450.0,60580.0,158964,167403,CU
2022-09-06,60380.0,61650.0,60360.0,61630.0,123553,161288,CU
2022-09-07,61380.0,61500.0,60390.0,60550.0,123977,163704,CU
2022-09-08,60890.0,61360.0,60490.0,61150.0,123027,161574,CU
2022-09-09,61450.0,63100.0,61290.0,63070.0,158026,162113,CU
2022-09-13,63170.0,63560.0,62880.0,63190.0,73290,159448,CU
2022-09-14,62920.0,63050.0,62120.0,62280.0,123846,157446,CU
2022-09-15,62280.0,62790.0,61870.0,62220.0,118765,152790,CU
2022-09-16,62010.0,62320.0,61810.0,61950.0,105047,145499,CU
2022-09-19,62110.0,63200.0,62050.0,62280.0,112402,140415,CU
2022-09-20,62020.0,62930.0,61960.0,62600.0,89148,133173,CU
2022-09-21,62400.0,62970.0,62260.0,62760.0,77123,131777,CU
2022-09-22,62290.0,62850.0,61890.0,62430.0,118153,123593,CU
2022-09-23,62990.0,63000.0,62090.0,62180.0,78763,116679,CU
2022-09-26,61180.0,61510.0,60620.0,60700.0,136265,102849,CU
2022-09-27,61100.0,61610.0,60750.0,61280.0,80128,83420,CU
2022-09-28,60700.0,60770.0,59860.0,60020.0,101191,148030,CU
2022-09-29,60540.0,61210.0,60340.0,60870.0,111097,148758,CU
2022-09-30,61280.0,61410.0,60630.0,61320.0,101617,142520,CU
2022-10-10,61070.0,61630.0,61050.0,61260.0,72287,143498,CU
2022-10-11,62000.0,62730.0,61870.0,62360.0,112508,155384,CU
2022-10-12,62510.0,62820.0,62020.0,62720.0,96511,159833,CU
2022-10-13,62530.0,62630.0,62160.0,62340.0,84695,160522,CU
2022-10-14,62050.0,63740.0,61880.0,63700.0,141755,172003,CU
2022-10-17,63700.0,63760.0,62840.0,63080.0,107335,163256,CU
2022-10-18,63340.0,63450.0,62600.0,62650.0,96499,152146,CU
2022-10-19,62460.0,62540.0,61950.0,62120.0,93539,144949,CU
2022-10-20,62230.0,62490.0,61980.0,62270.0,82732,137094,CU
2022-10-21,62750.0,63400.0,62590.0,62820.0,96569,132547,CU
2022-10-24,62820.0,64210.0,62680.0,63810.0,105306,131846,CU
2022-10-25,62980.0,63190.0,62700.0,63060.0,77210,180053,CU
2022-10-26,62510.0,63110.0,62510.0,62750.0,89367,185041,CU
2022-10-27,63200.0,63730.0,63140.0,63450.0,100565,195630,CU
2022-10-28,63630.0,64160.0,62740.0,62830.0,133310,195128,CU
2022-10-31,62730.0,62960.0,61850.0,62060.0,149926,190869,CU
2022-11-01,61800.0,63510.0,61760.0,63350.0,143225,189728,CU
2022-11-02,63660.0,63950.0,63120.0,63570.0,95485,191357,CU
2022-11-03,63400.0,63630.0,63150.0,63350.0,72791,190708,CU
2022-11-04,62810.0,64520.0,62720.0,64250.0,132397,192238,CU
2022-11-07,65500.0,66420.0,64970.0,65730.0,187038,201771,CU
2022-11-08,65330.0,65850.0,64950.0,65780.0,108697,200587,CU
2022-11-09,65900.0,66740.0,65820.0,66580.0,133221,204380,CU
2022-11-10,66200.0,67230.0,66130.0,66750.0,147374,199754,CU
2022-11-11,66550.0,68420.0,66460.0,67630.0,209779,197589,CU
2022-11-14,67670.0,68330.0,66660.0,67010.0,190537,185487,CU
2022-11-15,66670.0,67240.0,66440.0,67190.0,113258,177232,CU
2022-11-16,66870.0,67120.0,66340.0,66710.0,104001,167024,CU
2022-11-17,66710.0,66750.0,66000.0,66510.0,90982,158047,CU
2022-11-18,66210.0,66290.0,65650.0,65740.0,92310,148056,CU
2022-11-21,65510.0,65580.0,64730.0,65030.0,97528,132812,CU
2022-11-22,64640.0,64820.0,64260.0,64410.0,81404,121664,CU
2022-11-23,65020.0,65350.0,64590.0,64890.0,73475,109897,CU
2022-11-24,64670.0,65260.0,64650.0,65110.0,57703,100390,CU
2022-11-25,64850.0,65280.0,64730.0,65170.0,64166,148708,CU
2022-11-28,65360.0,65620.0,64000.0,64130.0,118987,147823,CU
2022-11-29,64650.0,65360.0,64470.0,65080.0,98472,147420,CU
2022-11-30,65080.0,65200.0,64550.0,64680.0,66304,147320,CU
2022-12-01,65620.0,66050.0,65150.0,65890.0,102607,151706,CU
2022-12-02,65520.0,66300.0,65520.0,66240.0,72762,147143,CU
2022-12-05,65950.0,66860.0,65590.0,66260.0,89722,145004,CU
2022-12-06,66190.0,66280.0,65550.0,65770.0,57736,143257,CU
2022-12-07,65890.0,66570.0,65300.0,65440.0,89484,146578,CU
2022-12-08,65670.0,66520.0,65500.0,66360.0,68350,144893,CU
2022-12-09,66660.0,67160.0,66350.0,67120.0,72302,148592,CU
2022-12-12,66590.0,66730.0,65890.0,66030.0,77966,142968,CU
2022-12-13,66030.0,66210.0,65530.0,66070.0,59251,140829,CU
2022-12-14,66340.0,67000.0,66180.0,66510.0,75527,142834,CU
2022-12-15,66160.0,66340.0,65830.0,65980.0,66557,138262,CU
2022-12-16,66040.0,66060.0,65060.0,65260.0,88099,130399,CU
2022-12-19,65050.0,65950.0,64910.0,65110.0,76102,123414,CU
