datetime,open,high,low,close,volume,oi,symbol
2022-07-22,648.0,683.0,643.5,681.0,568155,625938,I
2022-07-25,690.0,723.5,688.5,711.0,703780,621746,I
2022-07-26,713.0,749.0,703.5,748.5,573044,587855,I
2022-07-27,752.5,756.0,723.0,744.5,521484,570641,I
2022-07-28,745.0,798.5,737.0,793.5,598910,577844,I
2022-07-29,782.0,793.5,768.0,782.0,481775,536315,I
2022-08-01,785.0,817.5,780.0,787.0,576547,545948,I
2022-08-02,783.0,812.0,775.5,807.0,524996,524573,I
2022-08-03,804.0,810.0,781.0,786.5,435867,495568,I
2022-08-04,786.0,792.0,754.0,756.5,464220,459976,I
2022-08-05,692.0,731.0,686.5,723.0,727895,534304,I
2022-08-08,718.0,745.5,715.5,737.5,682335,565571,I
2022-08-09,740.0,755.0,722.5,723.0,792737,596223,I
2022-08-10,727.0,735.0,713.5,724.5,756957,612333,I
2022-08-11,732.5,744.0,721.0,741.0,797714,640095,I
2022-08-12,741.0,744.0,716.0,730.5,747488,639099,I
2022-08-15,728.0,738.5,703.5,707.5,966224,667462,I
2022-08-16,700.0,728.0,696.5,720.5,684029,667848,I
2022-08-17,720.0,723.5,683.5,684.0,858455,684691,I
2022-08-18,686.0,700.5,676.5,678.5,924696,702709,I
2022-08-19,683.0,691.5,672.0,673.5,867439,711214,I
2022-08-22,675.0,698.0,672.5,690.5,736537,695277,I
2022-08-23,690.5,709.5,681.5,705.0,740190,701893,I
2022-08-24,707.5,717.5,697.5,716.0,735635,688078,I
2022-08-25,717.5,721.5,702.5,705.5,779160,687387,I
2022-08-26,708.0,735.5,707.5,735.0,814280,710993,I
2022-08-29,730.5,736.5,704.0,714.0,854230,685463,I
2022-08-30,714.0,716.0,680.5,682.0,820763,714700,I
2022-08-31,686.0,691.0,677.0,685.0,691334,734188,I
2022-09-01,692.5,697.5,673.5,675.5,853397,742469,I
2022-09-02,668.5,677.0,652.0,667.5,928331,735828,I
2022-09-05,667.5,696.5,663.0,692.0,852995,717978,I
2022-09-06,693.5,699.5,685.5,691.5,624066,730392,I
2022-09-07,690.0,698.0,675.5,680.0,750177,737994,I
2022-09-08,680.0,708.5,678.0,706.0,880171,740548,I
2022-09-09,707.0,724.5,703.5,720.5,702196,754380,I
2022-09-13,725.0,732.0,720.0,728.5,431060,780215,I
2022-09-14,722.0,726.0,710.0,720.5,611449,775732,I
2022-09-15,719.0,736.0,713.0,722.5,827966,781425,I
2022-09-16,721.0,727.5,707.5,715.0,796082,765990,I
2022-09-19,715.0,728.0,705.0,705.5,700539,766946,I
2022-09-20,706.5,720.0,695.5,696.0,787733,742730,I
2022-09-21,696.0,705.5,686.5,703.5,826201,722870,I
2022-09-22,703.0,719.5,694.0,718.0,757635,742035,I
2022-09-23,721.0,728.0,714.0,719.0,654660,757404,I
2022-09-26,712.5,718.5,702.5,710.5,864907,725116,I
2022-09-27,712.0,722.0,706.5,718.5,725308,723920,I
2022-09-28,724.5,726.5,708.5,711.5,580415,719310,I
2022-09-29,715.5,731.0,709.0,722.5,708066,723313,I
2022-09-30,723.0,730.5,716.0,721.5,609170,688143,I
2022-10-10,729.0,744.5,728.0,739.5,468781,760192,I
2022-10-11,743.0,745.5,717.0,721.0,690769,746690,I
2022-10-12,724.0,724.5,706.0,714.5,577164,731452,I
2022-10-13,715.0,718.5,695.0,696.0,675085,760338,I
2022-10-14,691.0,709.0,689.0,702.5,560104,740061,I
2022-10-17,701.0,704.5,680.5,686.5,685006,767572,I
2022-10-18,688.0,694.5,678.0,687.0,649128,758608,I
2022-10-19,690.0,695.0,682.5,688.0,521735,768358,I
2022-10-20,686.0,687.0,664.0,667.0,849615,793167,I
2022-10-21,670.0,687.5,665.0,676.5,765622,751882,I
2022-10-24,675.0,694.0,674.5,679.5,722794,745695,I
2022-10-25,677.5,681.0,662.5,669.5,677672,756560,I
2022-10-26,670.0,682.5,658.5,662.5,747857,769363,I
2022-10-27,660.5,667.0,642.5,643.5,746872,783488,I
2022-10-28,640.0,645.0,618.5,624.5,935936,788883,I
2022-10-31,625.5,628.0,602.5,606.5,922287,765792,I
2022-11-01,608.0,630.0,599.5,628.0,1029080,749514,I
2022-11-02,628.0,638.5,620.0,629.0,840946,758149,I
2022-11-03,627.5,641.0,623.0,634.5,821772,751252,I
2022-11-04,630.5,666.0,628.0,662.5,1051499,736431,I
2022-11-07,664.5,676.0,654.0,661.5,923697,728757,I
2022-11-08,663.0,683.0,660.0,680.0,818258,731213,I
2022-11-09,680.0,691.5,678.5,686.0,773586,745076,I
2022-11-10,683.0,683.5,668.0,675.5,877335,714911,I
2022-11-11,667.0,720.0,667.0,708.5,1249178,716221,I
2022-11-14,710.0,735.5,707.0,710.5,943711,711721,I
2022-11-15,710.5,727.0,708.0,719.0,769009,732118,I
2022-11-16,718.0,741.0,713.5,734.0,869546,748260,I
2022-11-17,738.0,742.5,720.0,740.0,946862,730751,I
2022-11-18,740.0,757.5,733.5,753.5,1035180,787880,I
2022-11-21,753.5,755.0,726.0,745.5,989809,767071,I
2022-11-22,744.0,747.5,724.0,725.0,858294,724066,I
2022-11-23,723.5,736.5,714.0,732.5,921581,703376,I
2022-11-24,731.0,742.0,727.5,732.0,695693,687951,I
2022-11-25,732.0,760.5,723.5,758.0,865027,686438,I
2022-11-28,761.0,764.5,743.0,755.5,801091,649205,I
2022-11-29,758.0,780.5,757.0,770.5,751265,615956,I
2022-11-30,770.0,773.0,758.5,769.0,564931,592833,I
2022-12-01,774.0,779.5,761.5,766.5,607955,560882,I
2022-12-02,768.5,792.5,764.0,787.5,568768,539536,I
2022-12-05,790.5,808.0,782.0,795.5,532289,490633,I
2022-12-06,780.5,792.5,773.0,780.0,739884,645663,I
2022-12-07,780.0,795.0,761.0,765.0,1045695,670470,I
2022-12-08,765.5,793.0,765.5,790.0,812671,714255,I
2022-12-09,795.0,823.0,795.0,814.5,1048747,731133,I
2022-12-12,811.5,822.5,800.5,802.5,797363,727162,I
2022-12-13,802.5,809.5,789.0,808.5,803172,751858,I
2022-12-14,808.5,813.0,794.5,808.5,793160,762086,I
2022-12-15,811.5,832.0,807.5,830.0,959400,788881,I
2022-12-16,830.5,841.5,803.0,821.0,1128672,783155,I
2022-12-19,821.0,821.5,792.0,793.5,1091943,774077,I
2022-12-20,794.0,810.0,788.0,804.5,821864,793058,I
2022-12-21,806.5,829.5,797.0,829.0,867882,829134,I
2022-12-22,832.5,835.0,816.0,817.5,785544,841031,I
2022-12-23,820.0,827.5,805.5,825.0,892170,837755,I
2022-12-26,825.0,832.0,807.0,828.0,826326,837305,I
2022-12-27,828.0,838.0,818.0,836.0,682128,852478,I
2022-12-28,837.5,838.5,825.0,835.5,569096,859385,I
2022-12-29,838.0,847.5,831.0,845.0,766768,885333,I
2022-12-30,847.0,867.5,842.5,863.0,752441,881643,I
2023-01-03,857.0,859.0,842.0,851.5,523307,856521,I
2023-01-04,852.5,860.5,840.0,846.5,754099,874030,I
2023-01-05,841.0,847.0,830.0,840.0,734421,855024,I
2023-01-06,845.0,856.0,832.0,855.0,800371,871782,I
2023-01-09,845.0,846.5,815.5,823.0,1152754,847682,I
2023-01-10,829.5,844.0,826.5,839.5,725770,876162,I
2023-01-11,842.0,852.5,835.0,847.5,554600,901895,I
2023-01-12,850.5,861.5,843.5,855.5,639744,929836,I
2023-01-13,856.5,883.0,854.0,881.0,748517,953290,I
2023-01-16,859.0,863.5,830.0,832.5,1090582,863044,I
2023-01-17,836.0,841.5,826.5,835.0,542978,854616,I
2023-01-18,835.5,848.5,831.5,841.5,622277,833380,I
2023-01-19,845.5,859.5,842.0,852.5,616978,806325,I
2023-01-20,854.5,865.5,848.0,865.0,408952,783364,I
2023-01-30,885.0,890.0,871.0,873.5,397485,829483,I
2023-01-31,876.0,880.0,865.5,866.0,475910,842699,I
2023-02-01,867.0,881.5,862.5,867.0,586710,847176,I
2023-02-02,864.0,870.5,839.0,841.5,827653,829356,I
2023-02-03,850.0,856.0,834.0,853.5,733899,842359,I
2023-02-06,850.0,858.0,835.0,853.5,727817,843114,I
2023-02-07,850.0,853.0,828.5,840.5,815497,838801,I
2023-02-08,839.5,849.0,833.0,848.0,710699,849808,I
2023-02-09,850.5,866.0,848.5,863.0,608081,883705,I
2023-02-10,863.5,869.0,852.5,863.5,619121,871924,I
2023-02-13,862.5,867.0,841.0,841.5,778607,852473,I
2023-02-14,841.0,859.5,836.0,856.5,631859,857395,I
2023-02-15,856.0,873.0,854.0,865.5,652584,892950,I
2023-02-16,865.0,883.0,861.5,880.0,676237,914538,I
2023-02-17,881.0,893.0,879.5,889.5,617471,936584,I
2023-02-20,881.0,898.5,879.0,894.0,599902,945814,I
2023-02-21,899.0,922.0,898.5,919.0,728079,948533,I
2023-02-22,912.5,917.5,907.0,909.5,545536,927450,I
2023-02-23,911.0,917.5,906.0,908.5,548862,901515,I
2023-02-24,907.5,917.5,901.0,909.5,605138,883929,I
2023-02-27,901.0,906.5,883.0,885.5,780026,829322,I
2023-02-28,885.5,892.0,883.0,888.5,466360,829731,I
2023-03-01,891.5,910.5,885.5,908.5,534845,846922,I
2023-03-02,910.0,914.5,905.0,912.5,379352,855743,I
2023-03-03,913.0,923.5,910.0,919.0,429579,874968,I
2023-03-06,910.0,912.5,884.5,897.0,801270,826511,I
2023-03-07,900.0,914.0,894.0,909.5,483110,855327,I
2023-03-08,911.0,915.0,904.5,912.0,417778,871446,I
2023-03-09,913.0,919.0,897.0,916.5,719214,852878,I
2023-03-10,919.0,932.5,909.0,910.0,768841,846580,I
2023-03-13,915.0,930.0,913.0,929.0,630725,863952,I
2023-03-14,920.0,936.0,916.0,920.0,699358,845807,I
2023-03-15,926.0,935.0,922.5,926.5,529439,855000,I
2023-03-16,911.5,924.0,897.5,902.0,853770,787087,I
2023-03-17,900.5,921.0,889.0,915.0,770222,780380,I
2023-03-20,911.0,915.0,882.0,883.0,778016,722550,I
2023-03-21,886.5,894.0,877.5,879.0,636124,690163,I
2023-03-22,879.0,885.0,857.5,865.5,748618,647419,I
2023-03-23,869.0,876.5,851.0,854.0,640850,618484,I
2023-03-24,849.0,871.5,844.0,866.5,652127,588704,I
2023-03-27,857.0,878.0,855.0,873.5,567217,577178,I
2023-03-28,875.0,884.0,869.5,882.0,398727,575079,I
2023-03-29,887.5,895.0,882.5,890.5,429497,563552,I
2023-03-30,895.0,908.0,888.5,905.5,462333,554493,I
2023-03-31,910.5,914.5,905.0,907.0,385252,532508,I
2023-04-03,907.0,911.5,889.0,890.5,444187,506269,I
2023-04-04,892.5,897.0,873.5,881.5,404913,449782,I
2023-04-06,790.5,804.0,787.5,793.0,431884,558651,I
2023-04-07,791.0,800.0,782.0,795.5,595673,579338,I
2023-04-10,791.5,802.0,774.0,777.0,616499,608623,I
2023-04-11,780.0,801.5,773.5,798.5,659838,636467,I
2023-04-12,800.0,803.0,784.5,788.0,561962,653801,I
2023-04-13,790.0,790.5,763.5,769.0,737233,671059,I
2023-04-14,771.5,788.0,765.5,768.5,668663,686593,I
2023-04-17,768.5,778.5,760.0,775.5,748850,703102,I
2023-04-18,780.0,794.5,779.0,784.0,710239,731385,I
2023-04-19,784.0,791.5,773.5,777.5,698904,746259,I
2023-04-20,775.0,776.5,757.0,761.5,801598,770872,I
2023-04-21,755.0,759.5,730.0,730.5,833505,789427,I
2023-04-24,730.5,736.0,715.5,721.5,864876,778821,I
2023-04-25,719.0,728.5,710.5,711.0,687696,783961,I
2023-04-26,705.0,721.0,698.0,716.5,807660,777548,I
2023-04-27,721.0,728.5,711.5,713.5,714197,769372,I
2023-04-28,712.0,723.0,706.0,714.0,622937,750611,I
2023-05-04,705.0,714.0,697.0,698.5,547720,777815,I
2023-05-05,694.0,700.5,675.5,697.5,929393,778003,I
2023-05-08,696.0,722.0,694.0,721.5,996411,777683,I
2023-05-09,725.0,727.5,714.0,714.0,708689,782628,I
2023-05-10,717.0,733.0,714.5,724.0,825819,791626,I
2023-05-11,724.0,727.5,698.0,698.5,933822,785172,I
2023-05-12,691.5,708.0,685.5,697.0,822705,776629,I
2023-05-15,700.0,727.0,699.5,725.0,928330,792732,I
2023-05-16,730.0,733.5,718.5,723.5,763447,812632,I
2023-05-17,728.0,748.0,719.5,747.5,898940,820411,I
2023-05-18,749.0,752.5,740.5,746.5,665267,838965,I
2023-05-19,743.0,745.5,724.5,736.0,904783,816533,I
2023-05-22,740.0,745.0,715.0,716.0,943758,784543,I
2023-05-23,715.0,727.0,704.0,707.0,833604,773885,I
2023-05-24,708.5,710.5,682.0,682.5,870508,777174,I
2023-05-25,680.0,695.0,674.0,681.0,937311,782416,I
2023-05-26,681.0,712.5,665.5,709.5,1188322,751761,I
2023-05-29,710.0,720.0,701.0,719.0,890507,760659,I
2023-05-30,721.0,724.0,703.0,707.5,844592,767085,I
2023-05-31,708.0,713.0,693.0,711.0,897242,768142,I
2023-06-01,705.5,744.5,704.5,743.0,1057570,801640,I
2023-06-02,742.0,755.5,732.0,745.5,960922,801742,I
2023-06-05,751.5,770.0,746.5,759.0,905697,837054,I
2023-06-06,756.5,782.5,755.0,766.5,990220,853802,I
2023-06-07,769.0,780.0,762.5,770.0,919094,884178,I
2023-06-08,774.0,793.5,774.0,791.0,966238,912313,I
2023-06-09,793.5,812.5,791.5,812.0,1012242,926918,I
2023-06-12,810.0,811.0,782.0,785.5,1024567,865473,I
2023-06-13,784.5,803.0,781.0,801.5,987231,849235,I
2023-06-14,804.5,811.0,797.5,804.5,803202,856715,I
2023-06-15,809.5,820.5,804.5,815.5,817467,852864,I
2023-06-16,814.5,818.5,802.0,815.0,830930,840351,I
2023-06-19,815.0,825.0,805.0,809.5,901580,828825,I
2023-06-20,810.0,812.5,799.0,806.5,680595,825941,I
2023-06-21,803.5,810.5,791.5,797.5,898145,804577,I
2023-06-26,785.0,799.5,784.0,797.0,523391,833933,I
2023-06-27,798.0,825.0,794.5,824.0,795385,895927,I
2023-06-28,822.5,831.5,817.5,830.5,654439,901230,I
2023-06-29,830.0,835.0,823.5,830.5,581347,895601,I
2023-06-30,828.5,841.0,822.0,822.5,724966,869565,I
2023-07-03,822.0,830.0,814.0,819.0,682871,833495,I
2023-07-04,822.0,829.0,815.0,821.0,541548,831727,I
2023-07-05,820.5,828.5,815.0,828.0,576880,845530,I
2023-07-06,828.0,835.0,822.0,829.5,562836,842683,I
2023-07-07,829.5,832.5,812.0,812.5,636306,815314,I
2023-07-10,811.0,816.0,793.5,795.5,717169,780310,I
2023-07-11,794.0,813.5,794.0,807.0,642556,771927,I
2023-07-12,808.0,825.0,808.0,825.0,588646,796487,I
2023-07-13,826.0,833.0,823.5,829.0,495720,815744,I
2023-07-14,828.0,850.0,826.5,849.0,564680,846981,I
2023-07-17,849.5,851.5,830.5,832.5,581590,797181,I
2023-07-18,835.5,847.5,830.5,845.0,472946,819599,I
2023-07-19,840.5,844.5,824.0,834.0,611316,764198,I
2023-07-20,836.5,852.5,835.5,849.5,595504,787366,I
2023-07-21,853.5,854.5,835.0,846.5,528908,754225,I
2023-07-24,846.5,850.5,840.0,843.0,433797,749499,I
2023-07-25,845.0,859.5,837.5,856.5,520212,754823,I
2023-07-26,859.0,875.5,855.0,866.0,461168,739794,I
2023-07-27,860.0,866.0,845.0,848.5,482741,675256,I
2023-07-28,840.0,852.0,824.5,834.5,638746,593521,I
2023-07-31,830.5,842.0,822.0,841.5,471241,571847,I
2023-08-01,844.0,849.0,832.5,838.5,377188,556584,I
2023-08-02,835.0,843.0,830.0,831.0,332272,539551,I
2023-08-03,829.0,829.5,808.5,810.5,473281,493312,I
2023-08-04,816.0,830.0,815.0,817.5,326262,440396,I
2023-08-07,724.0,726.5,712.5,719.5,514719,624348,I
2023-08-08,722.5,728.0,715.0,716.0,414757,648875,I
2023-08-09,712.0,725.0,709.5,723.0,466433,660319,I
2023-08-10,721.0,733.5,712.5,714.5,569985,669112,I
2023-08-11,718.0,740.5,717.5,739.0,661206,654595,I
2023-08-14,737.0,739.5,720.0,725.0,535293,657705,I
2023-08-15,723.0,744.0,723.0,740.0,606559,659806,I
2023-08-16,739.0,743.5,731.5,738.5,417517,668642,I
2023-08-17,739.5,769.5,736.0,768.5,749815,686977,I
2023-08-18,768.5,776.0,764.0,771.5,579030,688052,I
2023-08-21,773.0,781.0,759.0,777.0,713135,663261,I
2023-08-22,775.0,807.5,774.5,805.5,691461,676410,I
2023-08-23,806.0,832.5,804.5,817.0,748864,672098,I
2023-08-24,818.5,831.5,809.5,811.0,649398,677675,I
2023-08-25,810.0,831.0,808.5,827.0,610199,707835,I
2023-08-28,827.0,834.0,803.5,812.5,739825,686123,I
2023-08-29,811.0,823.0,804.0,810.5,595637,708197,I
2023-08-30,811.0,830.0,807.5,829.0,562527,718612,I
2023-08-31,831.0,850.0,830.0,849.0,658887,733485,I
2023-09-01,852.0,853.5,836.0,845.5,605222,706641,I
2023-09-04,849.0,865.5,836.5,844.5,789675,692596,I
2023-09-05,845.0,863.0,843.0,846.5,581446,708843,I
2023-09-06,847.0,858.5,844.0,853.5,557097,725378,I
2023-09-07,858.0,863.0,831.0,836.5,763125,720724,I
2023-09-08,832.0,839.5,823.5,827.5,695097,709377,I
2023-09-11,829.0,854.5,826.5,851.5,624747,738946,I
2023-09-12,853.5,864.5,849.0,859.0,547269,755169,I
2023-09-13,863.0,867.5,846.5,860.5,564042,757872,I
2023-09-14,861.5,866.5,853.5,863.5,561190,779970,I
2023-09-15,870.0,881.5,866.5,879.0,546963,796619,I
2023-09-18,876.0,877.5,859.0,871.5,612805,762770,I
2023-09-19,873.0,879.0,861.5,862.5,504793,755564,I
2023-09-20,865.0,876.5,862.0,873.5,517540,784092,I
2023-09-21,877.0,878.0,851.0,854.0,712845,769204,I
2023-09-22,851.5,874.5,851.5,871.5,577712,781801,I
2023-09-25,873.0,876.0,839.5,844.5,722150,751626,I
2023-09-26,844.5,851.5,835.0,841.0,557580,731026,I
2023-09-27,842.0,851.0,837.5,846.5,410261,722248,I
2023-09-28,847.5,858.0,842.0,852.0,478646,698712,I
2023-10-09,848.0,848.0,822.5,828.0,423844,717638,I
2023-10-10,830.0,831.5,812.5,819.0,504239,730696,I
2023-10-11,822.0,831.0,816.0,827.5,478310,748753,I
2023-10-12,830.0,837.5,823.5,837.0,546788,773292,I
2023-10-13,838.0,843.0,832.5,842.0,466244,797809,I
2023-10-16,843.0,863.0,836.0,862.0,595161,829243,I
2023-10-17,860.5,873.5,857.0,866.0,478896,855986,I
2023-10-18,868.0,876.5,860.0,861.0,540750,871397,I
2023-10-19,863.0,875.0,856.5,871.5,530131,875076,I
2023-10-20,871.0,873.5,837.0,839.0,733801,810875,I
2023-10-23,840.0,842.5,825.5,835.0,551320,800950,I
2023-10-24,837.0,864.5,831.5,864.5,659220,816262,I
2023-10-25,867.0,878.5,863.0,872.0,699155,847544,I
2023-10-26,870.0,880.5,864.0,876.5,630789,883758,I
2023-10-27,870.0,894.5,867.0,889.5,761425,910314,I
2023-10-30,892.0,901.0,890.0,900.0,479473,914891,I
2023-10-31,901.5,904.5,891.0,898.5,453686,918305,I
2023-11-01,897.5,923.0,895.0,919.5,649445,925668,I
2023-11-02,920.0,929.5,911.5,926.5,509616,933792,I
2023-11-03,923.0,936.0,917.5,924.5,607649,916358,I
2023-11-06,927.0,938.0,922.5,925.0,527741,893418,I
2023-11-07,925.0,932.5,917.5,923.5,490049,888670,I
2023-11-08,920.0,935.5,913.5,935.0,517183,914241,I
2023-11-09,934.0,943.5,931.5,939.0,385603,940423,I
2023-11-10,939.0,962.0,939.0,961.5,420183,941744,I
2023-11-13,956.0,973.5,954.5,966.5,421412,920945,I
2023-11-14,967.0,968.0,957.0,965.5,315236,910660,I
2023-11-15,973.0,995.0,961.5,971.5,698339,877194,I
2023-11-16,969.0,970.5,947.0,965.0,545240,811026,I
2023-11-17,967.0,977.0,950.0,952.0,366138,782123,I
2023-11-20,952.0,972.5,945.0,968.0,338089,769374,I
2023-11-21,970.0,988.0,970.0,978.5,315117,733913,I
2023-11-22,979.5,995.0,975.0,993.5,303938,725613,I
2023-11-23,993.5,998.5,963.0,976.5,432852,697344,I
2023-11-24,983.0,988.5,968.0,986.5,237099,686231,I
2023-11-27,990.0,990.0,968.0,980.5,255078,661897,I
2023-11-28,980.0,980.0,941.0,951.0,357065,612043,I
2023-11-29,955.0,964.5,949.0,955.5,210872,576726,I
2023-11-30,955.5,975.0,941.5,969.5,293193,551396,I
2023-12-01,969.0,978.0,962.0,975.5,224810,505004,I
2023-12-04,978.0,983.0,955.5,958.0,214910,469733,I
2023-12-05,961.0,971.5,954.0,966.0,171953,438156,I
2023-12-06,910.0,930.5,900.5,930.0,223887,436134,I
2023-12-07,932.0,953.0,927.5,952.0,270595,479972,I
2023-12-08,950.5,975.5,941.5,963.5,316880,483591,I
2023-12-11,958.0,966.0,943.5,955.0,244957,483231,I
2023-12-12,955.0,971.5,951.5,969.5,199933,502723,I
2023-12-13,970.0,970.0,937.0,948.0,304763,485424,I
2023-12-14,952.0,958.0,940.5,942.0,222418,484392,I
2023-12-15,945.0,955.5,930.0,935.0,307433,491890,I
2023-12-18,937.0,939.0,915.0,928.0,314172,481680,I
2023-12-19,928.0,933.0,920.0,923.0,201056,486363,I
2023-12-20,925.0,945.0,923.5,939.0,224790,498781,I
