datetime,open,high,low,close,volume,oi,symbol
2022-07-22,1860.0,1950.0,1843.0,1924.5,80644,51745,JM
2022-07-25,1934.0,1998.0,1924.0,1956.0,75551,48815,JM
2022-07-26,1956.0,1993.5,1893.5,1977.5,78314,47517,JM
2022-07-27,1970.0,1990.0,1919.0,1987.0,64328,47027,JM
2022-07-28,1994.0,2186.5,1956.0,2173.0,103156,47043,JM
2022-07-29,2150.0,2217.0,2102.5,2133.5,101546,44311,JM
2022-08-01,2137.5,2226.0,2127.0,2162.5,92470,42383,JM
2022-08-02,2162.5,2258.0,2144.0,2256.5,77914,44211,JM
2022-08-03,2250.0,2275.0,2186.0,2212.5,75257,42868,JM
2022-08-04,2211.0,2232.0,2124.0,2133.5,63677,40439,JM
2022-08-05,2133.0,2182.0,2085.0,2088.0,68725,39285,JM
2022-08-08,2108.0,2203.0,2081.0,2183.0,68171,37856,JM
2022-08-09,2190.0,2223.0,2149.0,2182.0,53816,37653,JM
2022-08-10,2182.0,2182.0,2102.5,2128.0,50803,36974,JM
2022-08-11,2137.0,2175.5,2101.0,2135.0,46180,35071,JM
2022-08-12,2150.0,2195.5,2147.0,2189.5,42095,34635,JM
2022-08-15,2162.0,2202.5,2126.5,2151.5,39043,32519,JM
2022-08-16,2135.0,2200.0,2117.5,2196.0,31437,31456,JM
2022-08-17,2200.0,2225.0,2130.0,2138.0,37356,29479,JM
2022-08-18,2165.0,2167.5,2123.0,2127.0,27149,25244,JM
2022-08-19,1901.0,1914.0,1860.0,1871.5,46927,40424,JM
2022-08-22,1873.0,1965.0,1852.0,1961.0,53835,41796,JM
2022-08-23,1950.5,1983.5,1923.0,1958.5,49004,44010,JM
2022-08-24,1959.0,1993.5,1917.0,1948.0,55171,45823,JM
2022-08-25,1948.5,2000.0,1942.0,1960.5,59492,46524,JM
2022-08-26,1955.0,2050.0,1941.5,2050.0,66155,52662,JM
2022-08-29,2050.0,2055.0,1951.0,1963.5,65866,50917,JM
