datetime,open,high,low,close,volume,oi,symbol
2022-07-22,3800.0,3880.0,3760.0,3863.0,2100304,1889528,RB
2022-07-25,3865.0,3900.0,3843.0,3859.0,1899608,1876972,RB
2022-07-26,3865.0,3909.0,3798.0,3888.0,2220357,1889277,RB
2022-07-27,3895.0,3934.0,3827.0,3916.0,2184613,1924464,RB
2022-07-28,3911.0,4068.0,3878.0,4058.0,2248033,1887291,RB
2022-07-29,4030.0,4054.0,3979.0,3996.0,1827254,1859128,RB
2022-08-01,4003.0,4133.0,4003.0,4093.0,2461131,1867672,RB
2022-08-02,4070.0,4115.0,4013.0,4104.0,2177234,1847616,RB
2022-08-03,4091.0,4145.0,4028.0,4063.0,2348397,1825651,RB
2022-08-04,4075.0,4085.0,3974.0,3980.0,2291892,1783755,RB
2022-08-05,3978.0,4081.0,3963.0,4036.0,1914339,1773775,RB
2022-08-08,4040.0,4154.0,4022.0,4136.0,1933791,1759184,RB
2022-08-09,4130.0,4158.0,4077.0,4089.0,1633047,1718371,RB
2022-08-10,4089.0,4118.0,4047.0,4066.0,1834425,1703285,RB
2022-08-11,4100.0,4130.0,4032.0,4108.0,2228055,1688732,RB
2022-08-12,4118.0,4153.0,4100.0,4150.0,1590627,1738768,RB
2022-08-15,4120.0,4199.0,4095.0,4126.0,2399032,1746361,RB
2022-08-16,4090.0,4183.0,4078.0,4153.0,1502797,1732832,RB
2022-08-17,4160.0,4174.0,3985.0,3993.0,2155416,1659566,RB
2022-08-18,4003.0,4075.0,3980.0,4041.0,1958935,1659860,RB
2022-08-19,4050.0,4062.0,3924.0,3929.0,2162701,1514851,RB
2022-08-22,3948.0,4027.0,3924.0,4010.0,1732096,1472526,RB
2022-08-23,4005.0,4064.0,3973.0,4052.0,1237138,1411349,RB
2022-08-24,4054.0,4094.0,4034.0,4086.0,1300583,1288077,RB
2022-08-25,4089.0,4110.0,4043.0,4052.0,1324563,1165706,RB
2022-08-26,4052.0,4112.0,4043.0,4097.0,1168595,1114193,RB
2022-08-29,4105.0,4130.0,3944.0,3965.0,1610705,979188,RB
2022-08-30,3965.0,3972.0,3861.0,3875.0,1171963,870285,RB
2022-08-31,3650.0,3704.0,3650.0,3677.0,1401509,1589990,RB
