datetime,open,high,low,close,volume,oi,symbol
2022-07-22,646.0,660.7,643.2,659.9,259257,53878,SC
2022-07-25,647.0,664.2,637.2,639.6,263672,52738,SC
2022-07-26,652.9,681.5,648.0,678.5,216500,54265,SC
2022-07-27,679.2,682.7,652.3,659.9,214878,48352,SC
2022-07-28,663.3,691.8,654.6,690.7,231351,46081,SC
2022-07-29,691.2,691.3,675.7,686.6,213163,41643,SC
2022-08-01,695.7,711.7,687.3,692.1,205426,36729,SC
2022-08-02,680.2,681.4,663.4,681.0,238704,32378,SC
2022-08-03,680.1,689.9,675.3,677.8,203495,31801,SC
2022-08-04,692.8,692.8,655.0,657.7,215806,31642,SC
2022-08-05,660.1,660.2,643.6,653.0,155469,31275,SC
2022-08-08,646.0,668.3,642.3,665.2,165875,28455,SC
2022-08-09,654.9,675.4,653.0,671.3,131645,27586,SC
2022-08-10,682.0,684.4,671.4,675.5,119162,25893,SC
2022-08-11,678.4,693.6,666.2,691.1,139603,25211,SC
2022-08-12,698.9,705.0,691.0,703.6,92911,24585,SC
2022-08-15,696.6,700.7,691.0,697.2,95033,21560,SC
2022-08-16,673.5,691.6,672.0,687.6,72892,18029,SC
2022-08-17,662.9,670.3,654.2,663.4,145434,39577,SC
2022-08-18,661.4,682.2,660.2,679.1,168414,44106,SC
2022-08-19,688.5,703.6,684.8,692.7,165545,47423,SC
2022-08-22,689.6,709.6,689.2,699.3,156505,47340,SC
2022-08-23,702.0,713.5,686.0,712.8,184052,47431,SC
2022-08-24,715.0,734.8,711.5,734.1,162110,51209,SC
2022-08-25,734.0,752.4,730.1,745.2,200661,48421,SC
2022-08-26,744.5,750.8,732.1,740.0,151652,44563,SC
2022-08-29,732.5,736.3,719.6,729.5,185577,41819,SC
2022-08-30,733.1,747.4,729.7,736.7,130185,42524,SC
2022-08-31,723.0,728.0,712.6,716.5,144205,37870,SC
2022-09-01,701.8,714.4,695.4,698.9,148602,34808,SC
2022-09-02,694.1,702.0,688.8,695.4,136378,33748,SC
2022-09-05,701.5,704.9,687.2,703.9,135887,32923,SC
2022-09-06,709.7,715.4,699.0,703.5,92500,32023,SC
2022-09-07,692.6,699.0,680.0,684.1,120851,29007,SC
